Version,Graph Name,Threads,Event,Power,Iteration
PLM,NACA0015,48,package-0,414.409,1
PLM,NACA0015,48,dram,33.113,1
PLM,NACA0015,48,package-1,505.273,1
PLM,NACA0015,48,dram,42.1397,1
MPLM,NACA0015,48,package-0,106.682,1
MPLM,NACA0015,48,dram,11.5054,1
MPLM,NACA0015,48,package-1,166.162,1
MPLM,NACA0015,48,dram,15.4036,1
PLM,AS365,48,package-0,2067.02,1
PLM,AS365,48,dram,178.283,1
PLM,AS365,48,package-1,2038.9,1
PLM,AS365,48,dram,185.029,1
PLM,333SP,48,package-0,3090.52,1
PLM,333SP,48,dram,221.276,1
PLM,333SP,48,package-1,2931.15,1
PLM,333SP,48,dram,264.187,1
PLM,M6,48,package-0,3021.55,1
PLM,M6,48,dram,261.572,1
PLM,M6,48,package-1,2937.17,1
PLM,M6,48,dram,236.023,1
PLM,NLR,48,package-0,3305.84,1
PLM,NLR,48,dram,306.751,1
PLM,NLR,48,package-1,3430.84,1
PLM,NLR,48,dram,319.383,1
MPLM,AS365,48,package-0,657.545,1
MPLM,AS365,48,dram,60.9937,1
MPLM,AS365,48,package-1,626.625,1
MPLM,AS365,48,dram,76.6347,1
MPLM,M6,48,package-0,485.59,1
MPLM,M6,48,dram,52.9536,1
MPLM,M6,48,package-1,504.28,1
MPLM,M6,48,dram,49.7255,1
MPLM,333SP,48,package-0,611.747,1
MPLM,333SP,48,dram,56.6292,1
MPLM,333SP,48,package-1,597.681,1
MPLM,333SP,48,dram,67.2625,1
PLM,uk-2002,48,package-0,10218.2,1
PLM,uk-2002,48,dram,998.526,1
PLM,uk-2002,48,package-1,10137.6,1
PLM,uk-2002,48,dram,1185.77,1
MPLM,NLR,48,package-0,560.202,1
MPLM,NLR,48,dram,65.7971,1
MPLM,NLR,48,package-1,585.959,1
MPLM,NLR,48,dram,54.5584,1
PLM,Oregon-2,48,package-0,4.58983,1
PLM,Oregon-2,48,dram,1.20091,1
PLM,Oregon-2,48,package-1,16.9342,1
PLM,Oregon-2,48,dram,1.48643,1
MPLM,Oregon-2,48,package-0,4.65947,1
MPLM,Oregon-2,48,dram,1.03212,1
MPLM,Oregon-2,48,package-1,14.3462,1
MPLM,Oregon-2,48,dram,1.2735,1
PLM,europe,48,package-0,35385.4,1
PLM,europe,48,dram,3891.31,1
PLM,europe,48,package-1,38086.4,1
PLM,europe,48,dram,4609.42,1
MPLM,uk-2002,48,package-0,1441.85,1
MPLM,uk-2002,48,dram,107.139,1
MPLM,uk-2002,48,package-1,1420.75,1
MPLM,uk-2002,48,dram,152.779,1
PLM,belgium,48,package-0,1172.48,1
PLM,belgium,48,dram,102.429,1
PLM,belgium,48,package-1,1174.81,1
PLM,belgium,48,dram,97.8261,1
