GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine,StablePartitioningTime
RMAT_20_16-57-19-19-05,MPLP,1048576,16777216,0.548372,11.9184,392840,2.00271e-05,25,0,320,0,0,48,LL,0,0,0.0478718
RMAT_20_16-57-19-19-05,MPLP,1048576,16777216,0.593599,15.8899,392470,2.2292e-05,25,0,351,0,0,48,LL,0,0,0.0494162
RMAT_20_16-57-19-19-05,PLP,1048576,16777216,0.500069,19.3231,393547,2.02655e-05,25,0,428,0,0,48,LL,0,0,0
RMAT_20_16-57-19-19-05,MPLP,1048576,16777216,0.688831,16.2684,392848,2.38417e-05,25,0,410,0,0,48,LL,0,0,0.0487981
RMAT_20_16-57-19-19-05,TONLP,1048576,16777216,0.393897,6.15622,392702,2.28881e-05,25,0,212,0,0,48,LL,0,0,6.3e-08
RMAT_20_16-57-19-19-05,TONLP,1048576,16777216,0.350074,6.23781,392408,2.03847e-05,25,0,166,0,0,48,LL,0,0,5.9e-08
RMAT_20_16-57-19-19-05,ONLP,1048576,16777216,0.336832,5.34839,393084,2.00271e-05,25,0,158,0,0,48,LL,0,0,3.6e-08
RMAT_21_16-57-19-19-05,ONLP,2097152,33554432,0.707997,21.6425,837058,2.21728e-05,25,0,393,0,0,48,LL,0,0,5.5e-08
RMAT_22_16-57-19-19-05,ONLP,4194304,67108864,1.53009,39.5089,1773406,2.2292e-05,25,0,1001,0,0,48,LL,0,0,4.4e-08
RMAT_23_16-57-19-19-05,ONLP,8388608,134217728,3.46745,75.2753,3737945,2.09807e-05,25,0,2266,0,0,48,LL,0,0,8.6e-08
RMAT_24_16-57-19-19-05,ONLP,16777216,268435456,7.71335,134.789,7841831,2.09509e-05,25,0,5405,0,0,48,LL,0,0,1.07e-07
RMAT_21_16-57-19-19-05,PLP,2097152,33554432,0.8552,18.317,837054,2.2292e-05,25,0,812,0,0,48,LL,0,0,0
RMAT_21_16-57-19-19-05,MPLP,2097152,33554432,0.855998,29.6707,837202,2.1398e-05,25,0,538,0,0,48,LL,0,0,5.2e-08
RMAT_22_16-57-19-19-05,PLP,4194304,67108864,1.59378,43.0094,1773552,2.09807e-05,25,0,1531,0,0,48,LL,0,0,0
RMAT_22_16-57-19-19-05,PLP,4194304,67108864,1.74732,48.7535,1773320,2.27688e-05,25,0,1654,0,0,48,LL,0,0,0
