Version,Graph Name,Threads,Event,Power,Iteration
MPLP,uk-2002,36,package-0,254.269,1
MPLP,uk-2002,36,dram,44.1738,1
MPLP,uk-2002,36,package-1,253.033,1
MPLP,uk-2002,36,dram,46.3388,1
MPLP,nlpkkt200,36,package-0,2506.22,1
MPLP,nlpkkt200,36,dram,290.51,1
MPLP,nlpkkt200,36,package-1,2531.5,1
MPLP,nlpkkt200,36,dram,316.383,1
PLP,333SP,36,package-0,112.01,1
PLP,333SP,36,dram,13.2973,1
PLP,333SP,36,package-1,105.814,1
PLP,333SP,36,dram,14.3306,1
MPLP,333SP,36,package-0,64.5291,1
MPLP,333SP,36,dram,13.2212,1
MPLP,333SP,36,package-1,80.7547,1
MPLP,333SP,36,dram,13.4336,1
PLP,AS365,36,package-0,84.055,1
PLP,AS365,36,dram,9.1203,1
PLP,AS365,36,package-1,80.5342,1
PLP,AS365,36,dram,11.3564,1
PLP,M6,36,package-0,138.973,1
PLP,M6,36,dram,15.1794,1
PLP,M6,36,package-1,128.888,1
PLP,M6,36,dram,16.7261,1
PLP,NLR,36,package-0,118.786,1
PLP,NLR,36,dram,17.299,1
PLP,NLR,36,package-1,151.122,1
PLP,NLR,36,dram,16.5317,1
PLP,NACA0015,36,package-0,31.617,1
PLP,NACA0015,36,dram,3.67616,1
PLP,NACA0015,36,package-1,31.7176,1
PLP,NACA0015,36,dram,3.26017,1
MPLP,NACA0015,36,package-0,25.5327,1
MPLP,NACA0015,36,dram,4.69834,1
MPLP,NACA0015,36,package-1,39.7404,1
MPLP,NACA0015,36,dram,3.5117,1
MPLP,M6,36,package-0,65.4611,1
MPLP,M6,36,dram,13.437,1
MPLP,M6,36,package-1,73.2141,1
MPLP,M6,36,dram,10.1053,1
MPLP,AS365,36,package-0,88.1214,1
MPLP,AS365,36,dram,15.3312,1
MPLP,AS365,36,package-1,54.749,1
MPLP,AS365,36,dram,10.8185,1
MPLP,NLR,36,package-0,79.2951,1
MPLP,NLR,36,dram,16.6949,1
MPLP,NLR,36,package-1,91.3882,1
MPLP,NLR,36,dram,12.3843,1
PLP,Oregon-2,36,package-0,0.85803,1
PLP,Oregon-2,36,dram,0.1237,1
PLP,Oregon-2,36,package-1,0.702086,1
PLP,Oregon-2,36,dram,0.122921,1
MPLP,Oregon-2,36,package-0,1.63519,1
MPLP,Oregon-2,36,dram,0.419434,1
MPLP,Oregon-2,36,package-1,4.4746,1
MPLP,Oregon-2,36,dram,0.434994,1
PLP,belgium,36,package-0,32.4464,1
PLP,belgium,36,dram,3.91458,1
PLP,belgium,36,package-1,31.3831,1
PLP,belgium,36,dram,3.20867,1
PLP,asia,36,package-0,236.416,1
PLP,asia,36,dram,28.0554,1
PLP,asia,36,package-1,221.976,1
PLP,asia,36,dram,29.617,1
MPLP,belgium,36,package-0,23.7981,1
MPLP,belgium,36,dram,4.05448,1
MPLP,belgium,36,package-1,34.876,1
MPLP,belgium,36,dram,3.84348,1
MPLP,asia,36,package-0,148.39,1
MPLP,asia,36,dram,33.099,1
MPLP,asia,36,package-1,131.619,1
MPLP,asia,36,dram,24.1104,1
PLP,in-2004,36,package-0,32.9395,1
PLP,in-2004,36,dram,3.81403,1
PLP,in-2004,36,package-1,32.1264,1
PLP,in-2004,36,dram,3.7352,1
PLP,germany,36,package-0,471.67,1
PLP,germany,36,dram,50.8818,1
PLP,germany,36,package-1,415.618,1
PLP,germany,36,dram,42.5407,1
PLP,delaunay_n24,36,package-0,545.056,1
PLP,delaunay_n24,36,dram,53.8909,1
PLP,delaunay_n24,36,package-1,498.495,1
PLP,delaunay_n24,36,dram,64.3446,1
MPLP,in-2004,36,package-0,26.0997,1
MPLP,in-2004,36,dram,4.20655,1
MPLP,in-2004,36,package-1,34.6443,1
MPLP,in-2004,36,dram,3.70131,1
MPLP,germany,36,package-0,148.306,1
MPLP,germany,36,dram,27.0535,1
MPLP,germany,36,package-1,135.589,1
MPLP,germany,36,dram,24.0684,1
PLP,europe,36,package-0,1121.65,1
PLP,europe,36,dram,130.874,1
PLP,europe,36,package-1,1089.86,1
PLP,europe,36,dram,120.162,1
PLP,kkt_power,36,package-0,71.1107,1
PLP,kkt_power,36,dram,8.03949,1
PLP,kkt_power,36,package-1,67.4486,1
PLP,kkt_power,36,dram,6.79355,1
MPLP,delaunay_n24,36,package-0,276.79,1
MPLP,delaunay_n24,36,dram,53.1549,1
MPLP,delaunay_n24,36,package-1,252.174,1
MPLP,delaunay_n24,36,dram,46.3986,1
MPLP,kkt_power,36,package-0,41.2365,1
MPLP,kkt_power,36,dram,6.13167,1
MPLP,kkt_power,36,package-1,46.0864,1
MPLP,kkt_power,36,dram,4.69485,1
MPLP,europe,36,package-0,634.082,1
MPLP,europe,36,dram,121.461,1
MPLP,europe,36,package-1,599.912,1
MPLP,europe,36,dram,130.824,1
PLP,loc-gowalla_edges,36,package-0,8.52256,1
PLP,loc-gowalla_edges,36,dram,1.16747,1
PLP,loc-gowalla_edges,36,package-1,9.8931,1
PLP,loc-gowalla_edges,36,dram,1.31773,1
MPLP,loc-gowalla_edges,36,package-0,4.39177,1
MPLP,loc-gowalla_edges,36,dram,0.982719,1
MPLP,loc-gowalla_edges,36,package-1,9.35062,1
MPLP,loc-gowalla_edges,36,dram,1.11162,1
PLP,luxembourg,36,package-0,5.049,1
PLP,luxembourg,36,dram,0.508358,1
PLP,luxembourg,36,package-1,3.42608,1
PLP,luxembourg,36,dram,0.557088,1
MPLP,luxembourg,36,package-0,5.56981,1
MPLP,luxembourg,36,dram,1.23502,1
MPLP,luxembourg,36,package-1,11.8482,1
MPLP,luxembourg,36,dram,1.26398,1
PLP,netherlands,36,package-0,57.9638,1
PLP,netherlands,36,dram,7.74403,1
PLP,netherlands,36,package-1,53.0333,1
PLP,netherlands,36,dram,5.78023,1
MPLP,netherlands,36,package-0,40.2274,1
MPLP,netherlands,36,dram,8.3726,1
MPLP,netherlands,36,package-1,68.8849,1
MPLP,netherlands,36,dram,7.79973,1
PLP,roadNet-PA,36,package-0,19.7313,1
PLP,roadNet-PA,36,dram,1.99645,1
PLP,roadNet-PA,36,package-1,13.9325,1
PLP,roadNet-PA,36,dram,2.26249,1
MPLP,roadNet-PA,36,package-0,19.2869,1
MPLP,roadNet-PA,36,dram,2.82432,1
MPLP,roadNet-PA,36,package-1,24.883,1
MPLP,roadNet-PA,36,dram,2.53209,1
