GraphName,Version,Nodes,Edges,Wall Time,CPU Time,Clusters,Modularity,MaxIterations,FirstMoveTime,MoveTime,CoarsenTime,RefineTime,Threads,CacheLevel,CacheMissCount,Refine,StablePartitioningTime,Scale,EdgeFactor,a,b,c,d
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,PLM,1048576,16777216,14.2365,230.037,14168,0.125481,25,11608.1,13270.1,361.193,0,48,L1D,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,PLM,1048576,16777216,19.6627,380.09,393334,0.0731887,25,13069.5,18440.5,447.361,0,48,L1D,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,PLM,1048576,16777216,19.9951,347.286,14168,0.122311,25,14215.5,18901.5,407.285,0,48,L1D,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,PLM,1048576,16777216,17.8683,358.77,393343,0.0732753,25,11253.1,16633.1,445.053,0,48,L1D,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLM,1048576,16777216,29.0917,331.6,58912,0.115481,25,9646.11,27279.1,608.183,0,48,L1D,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,PLM,1048576,16777216,17.4191,277.096,14156,0.125719,25,14689.6,16480.6,366.012,0,48,L1D,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,PLM,1048576,16777216,17.0424,332.025,393337,0.0732726,25,11274,15826,467.317,0,48,L1D,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,PLM,1048576,16777216,20.3619,340.344,14159,0.122478,25,14623.4,19285.4,383.444,0,48,L1D,0,0,0,20,16,0.4,0.3,0.2,0.1
RMAT_20_16-0.570000-0.190000-0.190000-0.050000,PLM,1048576,16777216,17.4169,350.921,393332,0.0730661,25,10696.5,16190.5,426.16,0,48,L1D,0,0,0,20,16,0.57,0.19,0.19,0.05
RMAT_20_16-0.330000-0.330000-0.330000-0.010000,PLM,1048576,16777216,28.9064,351.613,58909,0.114074,25,9687.07,27272.1,508.936,0,48,L1D,0,0,0,20,16,0.33,0.33,0.33,0.01
RMAT_20_16-0.400000-0.300000-0.200000-0.100000,PLM,1048576,16777216,16.1173,251.866,14185,0.127601,25,14134.2,15191.2,372.872,0,48,L1D,0,0,0,20,16,0.4,0.3,0.2,0.1
